Altium Designer Pick and Place Locations
C:\projects\hcu_hardware\hardware\zeleno_hcucc_r1\.\REV1.2\Pick Place\Pick Place for hcucc_r1.2(NREL_Production).txt

========================================================================================================================
File Design Information:

Date:       29/07/24
Time:       01:19
Revision:   b1aa59978447bcba6e1cb286160fb2aa1bdb8dfd
Variant:    NREL_Production
Units used: mil

Designator Comment                  Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                           
C4         100n                     TopLayer    MURATA_0402             2312.992      757.874       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1 uF 50 VDC 10% 0402 X7R AEC-Q200"                                                                    
MP2        3670135                  TopLayer    3670135                 236.220       576.772       0        "WE-SHC Shielding Cabinet, SMT Frame Seamless, Tin Plated, Tray, 13.5x13.5x5mm"                                                                       
R17        34k                      TopLayer    PANASONIC_0402          216.323       489.420       180      "Thick Film Resistors - SMD 1/16watt 34Kohms 1% Commercial Use"                                                                                       
R14        154k                     TopLayer    PANASONIC_0402          265.748       531.496       270      "Thick Film Resistors - SMD 1/16watt 154Kohms 1% Commercial Use"                                                                                      
U12        CrystalOsc_2_Terminals   TopLayer    XO_1.6x1.0x0.5mm        1427.165      501.969       0        "Crystals 32.768kHz 9pF -40C +85C"                                                                                                                    
L41        2.5n                     TopLayer    MURATA_IND_0201         1496.724      629.921       180      "INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 2.5nH, -0.1nH/+0.1nH, 0.5A, -55DEGC/+125DEGC, 0201, SMD"                                                      
L40        12n                      TopLayer    MURATA_IND_0201         1524.409      541.339       90       "RF Inductors - SMD 12 NH 3%"                                                                                                                         
L39        3.9n                     TopLayer    MURATA_IND_0201         1524.409      588.709       90       "INDUCTOR, RF, CHIP, NON-MAGNETIC CORE, 3.9nH, -0.1nH/+0.1nH, 0.5A, -55DEGC/+125DEGC, 0201, SMD"                                                      
L38        1n                       TopLayer    MURATA_IND_0201         1512.462      468.445       90       "RF Inductors - SMD 1 NH .05%"                                                                                                                        
L37        4.7n                     TopLayer    MURATA_IND_0201         1585.307      629.921       0        "RF Inductors - SMD 4.7 NH 5%"                                                                                                                        
